ID,marital_status,Nacionality,Application_mode,Course,Previous_qualification,Mother_qualification,Father_qualification
0,1,1,8,2,1,13,10
1,1,1,6,11,1,1,3
2,1,1,1,5,1,22,27
3,1,1,8,15,1,23,27
4,2,1,12,3,1,22,28
5,2,1,12,17,12,22,27
6,1,1,1,12,1,13,28
7,1,1,9,11,1,22,27
8,1,15,1,10,1,1,1
9,1,1,1,10,1,1,14
10,1,1,1,14,1,23,14
11,1,1,1,12,1,13,28
12,1,1,1,16,1,13,27
13,1,1,17,11,16,1,1
14,1,1,1,6,1,23,27
15,1,1,1,15,1,13,27
17,1,1,8,12,1,13,1
18,1,1,1,8,1,3,14
20,1,1,1,2,1,1,1
22,1,1,1,12,1,13,14
23,1,1,1,14,1,1,28
24,1,1,1,12,1,13,14
26,1,1,8,10,1,13,28
28,1,1,1,9,1,13,1
31,1,1,16,5,1,27,3
33,1,1,9,3,1,13,1
34,1,1,1,17,1,2,27
35,1,1,12,1,1,23,27
36,1,1,12,7,8,19,27
37,1,1,14,9,1,22,27
38,4,1,12,17,1,13,14
39,1,3,15,8,14,4,4
40,1,1,1,15,1,3,3
41,1,1,1,9,1,3,14
42,1,1,1,12,1,1,3
43,1,1,8,15,1,1,28
44,1,1,12,17,1,22,27
46,1,1,8,10,1,13,14
47,1,1,8,12,1,22,14
48,1,1,15,3,14,1,14
49,1,1,1,10,1,22,28
50,1,1,12,11,1,13,28
53,1,1,1,8,1,22,27
54,1,1,12,17,1,23,28
55,1,1,1,12,1,1,14
56,2,1,4,11,3,1,3
57,1,1,12,8,15,3,3
58,1,1,8,12,1,23,28
60,1,1,1,12,1,13,14
61,1,1,15,10,14,13,1
65,4,1,13,12,12,1,1
66,1,1,1,2,1,13,14
67,1,1,15,4,14,13,27
68,1,1,1,9,1,1,28
71,1,1,8,12,1,22,14
72,1,1,1,2,1,13,14
73,1,1,8,11,1,23,27
74,1,1,1,15,1,23,28
75,1,1,8,9,1,13,14
76,1,1,9,11,1,13,27
77,1,1,8,15,1,1,14
78,1,1,8,12,1,23,27
79,2,1,12,3,1,22,27
80,1,1,1,16,1,13,14
81,1,1,12,17,2,3,3
82,1,1,12,4,4,3,3
84,2,1,12,3,1,22,27
85,1,1,13,12,1,22,28
86,1,1,12,14,1,1,14
87,1,1,8,5,1,13,28
90,1,1,12,12,1,1,1
91,1,14,8,15,1,13,1
92,1,14,6,8,1,1,1
93,2,1,12,16,8,22,24
94,2,1,12,3,1,22,14
96,1,1,1,15,1,22,1
97,1,1,1,12,1,22,27
99,1,1,1,12,1,3,3
100,1,1,17,6,16,23,28
101,1,1,1,2,1,1,1
102,2,1,12,3,1,22,27
103,4,1,12,4,9,22,27
104,1,1,9,16,1,13,14
105,1,1,16,5,1,3,1
106,1,1,1,10,1,22,28
107,1,1,1,6,1,1,1
108,1,1,1,12,1,3,4
110,1,1,1,10,1,22,27
112,1,1,1,6,1,13,14
113,1,1,1,15,1,1,28
114,1,1,8,12,1,22,27
118,1,1,1,6,1,22,28
119,1,1,1,9,1,2,14
120,1,1,8,11,1,1,1
121,1,1,1,9,1,13,14
122,1,1,1,2,1,3,14
123,1,1,1,14,1,23,28
124,1,1,1,6,1,13,28
125,1,1,8,13,1,1,1
126,1,1,15,6,14,22,27
128,1,1,8,10,1,1,29
129,1,1,8,12,1,1,27
130,1,1,1,12,1,13,14
131,1,1,8,5,1,22,27
132,1,1,1,9,1,1,14
133,1,1,8,12,1,1,14
134,1,1,14,10,1,23,27
135,1,1,1,14,1,1,28
136,1,1,8,14,1,13,14
137,1,1,1,15,1,1,1
139,1,1,9,12,1,13,1
140,1,1,1,12,1,22,27
141,1,1,1,15,1,13,1
143,1,1,1,10,1,1,10
144,1,1,1,12,1,13,14
145,1,1,8,16,1,22,28
146,1,1,1,11,1,10,14
147,1,1,8,11,1,1,27
148,1,1,1,9,1,3,14
149,1,1,1,12,1,1,14
151,1,1,1,6,1,1,28
153,1,1,1,16,1,22,27
154,1,1,14,16,1,3,27
155,1,1,1,16,1,23,27
156,1,1,1,9,1,23,28
157,1,1,8,10,1,1,27
158,1,1,1,10,1,13,1
159,1,1,12,3,1,1,14
160,1,1,1,14,1,13,1
161,1,1,1,12,1,13,27
162,1,1,1,12,1,13,14
163,1,1,8,16,1,10,10
164,1,1,8,14,1,1,14
165,1,1,8,15,1,13,27
167,1,1,8,10,1,13,14
168,1,1,12,12,3,2,2
169,1,1,14,10,1,13,14
171,1,1,8,13,1,22,27
172,1,1,8,12,1,2,28
173,1,1,13,3,1,13,2
174,1,1,8,11,1,22,27
176,1,1,12,16,1,22,14
177,1,1,1,12,1,19,24
178,1,1,1,16,1,22,14
179,1,1,4,12,3,1,1
180,1,1,14,16,1,3,1
182,1,1,12,15,12,13,14
183,1,1,9,5,1,1,27
184,1,1,8,11,1,1,14
185,1,1,9,9,1,3,3
187,1,1,8,12,1,23,1
188,1,1,12,6,1,1,14
189,1,1,8,5,1,1,3
190,1,1,1,11,1,13,28
192,1,1,12,9,1,10,3
193,1,1,16,16,1,1,1
194,1,1,1,12,1,23,28
195,1,1,12,17,15,13,1
196,1,1,9,12,1,22,27
197,1,1,4,7,3,3,2
198,1,1,1,16,1,13,14
200,1,1,1,6,1,1,1
201,1,1,1,10,1,13,14
202,1,1,1,12,1,13,14
203,1,1,15,10,14,23,28
204,1,1,8,10,1,13,27
205,1,1,1,10,1,19,24
206,1,1,1,12,1,13,28
207,1,1,1,15,1,3,14
208,1,1,1,6,1,13,1
209,1,1,12,11,12,3,14
210,1,1,1,12,1,23,1
211,1,1,1,12,1,22,27
212,1,1,14,8,1,1,3
213,1,1,12,17,1,22,27
214,1,1,14,15,1,1,1
216,1,1,9,9,1,13,3
217,1,1,12,3,1,13,27
218,1,1,12,3,1,1,14
219,1,1,8,6,1,13,27
220,1,1,1,9,1,23,28
221,2,1,1,16,1,22,27
222,1,1,1,11,1,1,1
223,1,1,16,12,1,13,1
224,1,1,9,12,1,1,28
225,2,1,4,17,17,25,5
226,2,1,4,9,3,1,4
227,1,1,1,10,1,1,1
228,1,1,12,14,1,19,24
229,1,1,14,12,1,1,1
230,1,1,1,11,1,1,27
231,1,1,12,11,3,13,14
232,1,1,1,14,1,1,3
233,1,1,1,11,1,1,27
234,1,1,1,9,1,22,1
235,1,1,1,10,1,23,27
236,1,1,1,16,1,13,14
237,1,1,8,10,1,22,27
238,1,1,1,8,1,13,1
239,1,1,12,6,12,13,14
242,1,1,1,9,1,22,14
243,1,1,12,9,1,22,1
244,1,1,1,9,1,23,14
245,1,1,4,12,3,13,28
246,1,1,8,12,1,13,27
247,1,1,15,4,14,22,27
248,1,1,1,11,1,13,27
249,1,1,1,14,1,13,1
251,1,1,1,15,1,23,27
252,1,1,1,6,1,7,14
254,1,1,8,9,1,1,1
255,2,1,12,13,12,23,27
256,1,1,8,17,15,22,27
258,1,1,1,10,1,1,1
259,1,1,14,10,1,1,1
260,1,1,1,11,1,22,28
261,1,1,12,3,1,22,27
262,1,1,14,7,1,22,28
263,1,1,1,10,1,1,1
264,1,1,1,10,1,23,14
265,1,1,1,15,1,3,1
266,1,1,8,12,1,4,1
267,1,1,1,15,1,23,28
268,1,1,1,5,1,22,27
269,1,1,1,12,1,1,1
270,1,1,15,4,14,22,28
271,1,1,1,9,1,1,14
272,1,1,8,9,1,10,14
273,1,1,1,12,1,5,1
274,1,1,1,10,1,1,28
275,1,1,8,12,1,10,1
276,1,1,13,16,1,22,28
277,2,1,4,8,3,5,4
279,1,1,1,12,1,13,14
280,1,1,7,9,1,23,27
281,4,1,1,3,1,24,14
282,2,1,16,17,1,22,27
283,1,1,1,5,1,13,27
284,1,1,1,3,1,23,28
285,2,1,12,15,9,1,1
287,1,1,12,3,11,19,1
288,1,1,9,3,1,3,1
289,1,1,12,12,1,3,3
290,1,1,8,6,1,13,14
291,1,1,15,4,14,13,27
293,1,1,8,10,1,13,14
294,1,1,1,5,1,23,27
295,2,1,1,12,1,3,28
296,1,1,8,15,1,13,28
297,1,1,1,10,1,1,1
298,1,1,8,13,1,1,1
299,1,1,1,12,1,13,28
300,1,1,8,14,1,23,28
301,1,1,1,6,1,23,27
302,1,1,1,12,1,13,14
303,1,1,16,14,1,13,14
304,1,1,8,10,1,1,9
306,1,1,8,14,1,1,14
307,1,1,12,8,3,3,1
308,1,1,1,6,1,9,9
309,1,1,15,8,14,22,27
310,1,1,16,10,1,3,14
311,1,1,8,16,1,19,24
312,1,1,8,9,1,13,14
313,1,1,8,16,1,23,28
314,1,1,16,9,1,1,1
315,1,1,1,9,1,1,28
316,1,1,1,12,1,13,14
317,1,1,1,12,1,26,14
318,1,1,1,10,1,13,28
320,1,1,4,6,15,13,14
321,1,1,13,12,1,22,27
322,1,1,1,12,1,1,1
323,1,1,14,9,1,22,27
325,1,1,1,11,1,13,14
326,1,1,14,12,6,1,27
327,1,1,1,10,1,1,1
331,1,1,15,7,14,13,27
332,1,1,1,10,1,23,28
333,1,1,1,3,1,22,28
334,1,1,1,10,1,19,27
335,1,1,15,10,14,23,27
336,1,1,4,16,15,26,3
337,1,1,1,12,1,23,28
338,1,1,8,10,1,3,1
339,1,1,8,8,1,2,7
341,1,1,1,2,1,3,3
342,2,1,12,3,1,22,27
343,1,1,12,4,3,3,3
345,1,1,1,15,1,13,14
347,4,1,12,17,1,22,27
348,2,1,12,10,1,22,27
350,1,1,1,11,1,13,14
351,1,1,14,15,1,13,14
352,1,1,1,2,1,1,1
353,2,1,1,12,1,22,28
354,1,1,1,11,1,13,14
355,1,1,8,6,1,13,1
356,1,1,12,12,12,23,27
357,1,1,12,17,1,22,27
359,1,1,12,6,17,3,29
360,1,1,8,16,1,13,28
361,1,1,1,15,1,22,28
363,1,1,17,6,16,13,27
365,1,1,1,6,1,22,28
366,1,1,1,12,1,13,28
368,1,1,1,16,1,23,27
369,1,1,1,12,1,13,14
370,2,1,14,3,1,22,29
372,1,1,8,15,1,1,14
373,4,1,12,17,1,1,27
374,2,1,12,6,12,23,28
376,1,1,9,9,1,22,27
377,1,1,1,12,1,1,1
380,4,1,12,12,12,23,14
383,1,1,1,16,1,13,14
384,1,1,17,9,16,3,4
385,1,1,1,10,1,19,24
386,1,1,1,16,1,22,27
387,1,1,12,17,3,22,27
389,1,1,15,3,14,22,27
392,1,1,1,15,1,18,27
393,1,1,8,6,1,1,1
394,1,1,8,6,1,1,14
395,1,1,1,12,1,1,1
396,1,1,16,10,1,3,14
397,1,1,15,6,14,23,27
398,1,1,8,14,1,22,14
399,1,1,8,9,1,23,27
404,1,1,8,12,1,22,27
405,1,1,1,2,1,1,14
406,1,1,4,5,15,1,14
407,1,1,12,17,15,1,14
408,1,1,8,10,1,1,14
409,4,1,12,6,1,19,24
410,1,1,1,12,1,13,14
411,1,1,12,12,3,13,1
412,1,1,1,12,1,1,1
413,1,1,4,17,15,22,27
414,1,1,1,10,1,1,28
415,1,1,1,6,1,22,27
416,1,1,1,6,1,1,1
417,1,1,1,16,1,13,14
418,1,1,1,12,1,22,27
419,1,1,1,12,1,1,14
420,1,1,1,12,1,2,1
421,1,1,13,17,1,1,2
422,1,1,15,6,14,1,2
423,1,1,1,12,1,3,1
424,1,1,8,13,1,13,2
425,1,1,1,12,1,22,27
426,1,1,1,14,1,23,28
428,3,1,1,6,1,13,1
429,1,1,8,14,1,13,28
430,1,1,1,12,1,22,28
431,1,1,12,3,1,22,27
432,1,1,8,9,1,23,28
433,1,1,1,12,1,1,1
434,1,1,1,15,1,1,14
435,1,1,1,12,1,13,14
437,1,1,1,14,1,13,27
438,1,1,1,14,1,7,1
439,2,1,12,12,12,22,27
442,1,1,8,12,1,13,28
443,1,1,1,12,1,13,14
444,1,1,8,14,1,13,14
445,1,1,1,10,1,22,14
446,1,1,1,12,1,3,1
447,1,1,1,12,1,1,14
448,1,1,1,15,1,1,14
450,1,1,9,12,1,23,27
451,1,1,1,12,1,22,27
452,1,1,1,12,1,13,14
453,1,1,8,6,1,13,27
455,2,1,12,3,1,19,24
456,1,1,4,4,3,23,27
457,1,1,14,16,1,22,14
458,2,1,12,4,1,1,14
459,1,1,8,15,1,22,27
460,1,1,1,8,1,3,3
461,1,1,16,5,1,13,14
462,1,1,8,10,1,3,1
463,1,1,12,9,12,3,1
465,1,1,14,3,1,3,3
467,1,1,14,10,1,19,24
468,1,1,1,12,1,13,28
469,1,1,8,10,1,22,27
470,1,1,8,12,1,1,27
471,1,1,1,11,1,13,28
472,1,1,1,14,1,23,14
473,1,1,1,12,1,13,14
474,1,1,12,11,7,19,24
475,1,1,1,14,1,1,14
476,1,1,1,13,1,13,14
477,1,1,4,12,3,19,24
478,1,1,1,12,1,3,1
480,1,1,1,12,1,1,1
481,1,1,9,12,1,1,14
482,1,1,1,12,1,3,1
484,1,1,1,12,1,1,14
485,1,1,8,16,1,1,27
486,1,1,14,14,1,23,14
487,1,1,12,14,1,1,14
488,1,1,8,12,1,22,27
489,1,1,1,12,1,23,28
490,1,1,1,5,1,13,1
491,1,1,1,14,1,22,27
492,1,1,1,12,1,1,3
495,1,1,4,8,3,13,27
496,1,1,12,13,12,22,28
497,1,1,8,11,1,1,14
498,1,1,8,5,1,13,28
499,1,1,8,12,1,23,28
501,1,1,8,11,1,23,28
503,1,1,4,6,3,3,3
504,1,1,1,12,1,22,1
507,1,1,1,15,1,13,1
508,1,1,1,8,1,5,5
509,1,1,1,9,1,1,14
511,2,1,12,3,1,19,24
512,1,1,12,14,1,19,24
513,1,1,12,17,1,22,14
514,2,1,9,3,1,22,27
515,2,1,9,10,1,22,27
516,2,1,12,4,1,22,14
517,1,1,8,16,1,1,1
518,4,1,12,3,12,19,24
519,1,1,8,16,1,22,27
520,1,1,1,12,1,22,1
521,1,1,8,8,1,3,14
522,1,12,6,10,1,3,27
523,1,18,9,6,1,1,1
524,1,18,1,13,1,5,3
525,1,1,14,7,1,1,1
527,1,1,12,2,1,3,1
528,1,1,12,9,1,22,27
529,1,1,1,8,1,3,3
531,1,1,8,14,1,13,27
532,1,1,1,12,1,4,2
533,1,1,15,5,14,1,14
534,1,1,15,2,14,4,4
535,1,1,14,17,1,3,3
536,1,1,12,7,1,3,3
537,1,1,8,11,1,3,14
538,1,1,15,4,14,13,28
539,1,1,9,15,1,13,1
540,1,1,12,12,1,13,14
542,1,1,15,4,14,1,14
543,1,1,1,12,1,1,1
549,1,1,8,9,1,13,28
550,1,1,1,7,1,10,14
551,1,1,12,15,12,13,1
552,1,1,14,5,1,10,10
553,1,1,8,7,1,1,2
554,1,1,8,9,1,1,1
555,1,1,15,4,14,3,2
557,1,1,1,2,1,22,27
559,1,1,13,12,1,1,3
560,1,1,17,4,16,3,28
562,1,1,12,17,1,1,1
563,1,1,1,8,1,13,28
564,1,1,1,5,6,1,1
565,1,1,12,14,1,13,14
566,1,1,12,4,12,4,1
567,1,1,8,7,1,19,26
568,1,1,8,6,1,23,14
569,1,1,12,4,1,3,4
570,1,1,1,3,1,1,1
571,1,1,1,9,1,23,27
572,1,1,8,7,1,13,3
574,1,1,14,2,1,13,10
575,2,1,12,6,7,1,1
576,1,1,1,12,1,3,1
578,2,1,1,10,1,22,27
579,1,1,1,5,1,22,27
580,1,1,12,3,1,19,5
581,1,1,8,12,1,10,1
583,1,1,1,9,1,22,28
584,1,1,8,11,1,22,27
585,1,1,1,9,1,1,14
586,1,1,8,6,1,23,14
587,1,1,8,15,1,23,28
588,1,1,1,11,1,22,27
589,1,1,1,13,1,22,1
590,1,1,1,14,1,13,1
592,1,1,15,14,14,22,1
595,1,1,12,17,3,22,27
596,1,1,8,16,1,23,10
597,4,1,12,16,1,22,1
598,1,1,8,14,1,13,27
599,1,1,8,4,1,23,27
600,1,1,4,8,3,13,28
601,1,1,8,5,1,13,28
602,1,1,4,12,15,1,1
603,1,1,12,3,1,1,1
604,1,1,1,12,1,1,27
605,1,1,1,2,1,7,1
606,1,1,8,8,1,13,3
607,1,1,1,12,1,23,14
608,1,1,8,6,1,13,28
610,1,1,1,16,1,22,27
611,2,1,1,3,1,1,27
612,1,1,1,5,1,1,1
614,1,1,1,12,1,13,27
615,1,1,1,12,1,1,27
616,1,1,8,10,3,22,27
617,1,1,8,12,1,22,27
618,1,1,8,12,1,13,27
620,1,1,1,15,1,3,14
621,1,1,8,9,1,1,28
622,1,1,8,16,1,23,28
623,1,1,8,12,1,23,27
624,1,1,8,5,1,23,27
625,1,1,1,16,1,13,14
626,1,1,15,3,14,22,28
627,1,1,1,12,1,13,27
628,1,1,8,15,1,1,28
629,1,1,1,15,1,13,27
630,1,1,12,12,1,13,27
632,1,1,1,12,1,1,14
633,1,1,12,13,1,23,28
634,1,1,1,14,1,22,27
635,1,1,8,10,1,22,27
636,1,1,1,12,1,22,27
638,1,1,8,10,1,1,1
639,1,1,9,15,1,1,1
640,2,1,12,14,1,22,27
644,1,1,1,15,1,23,28
647,2,1,12,17,3,13,14
648,1,1,14,13,1,1,14
649,1,1,1,14,1,1,28
650,1,1,8,10,1,13,1
652,1,1,12,12,12,1,5
653,1,1,15,10,14,23,28
654,1,1,1,15,1,13,28
657,1,1,16,3,1,1,28
658,1,1,14,5,1,1,14
659,1,1,12,4,1,13,14
660,1,1,15,4,14,1,3
662,1,1,8,15,1,1,14
663,1,1,1,14,1,22,27
664,1,1,8,12,1,3,3
665,1,5,1,6,1,3,3
666,1,1,8,15,1,22,28
667,1,1,16,10,14,23,28
668,1,1,8,12,1,1,14
669,1,1,13,12,1,13,27
670,1,1,1,10,1,22,1
671,1,1,13,3,1,22,28
672,1,1,1,12,1,1,14
673,1,1,1,5,1,13,14
674,1,1,1,11,1,23,28
675,1,1,8,16,1,22,27
676,1,1,8,5,1,1,14
678,2,1,12,15,12,22,27
679,1,14,1,2,1,3,3
680,1,14,8,11,1,13,28
681,1,14,15,10,14,1,1
682,1,1,9,6,1,1,1
683,4,1,12,10,12,22,27
684,4,1,12,4,12,22,27
685,2,1,14,17,1,22,27
686,1,1,12,6,14,22,27
687,1,1,8,12,1,23,14
688,3,1,12,17,1,22,1
689,4,1,12,9,12,22,27
690,4,1,12,8,12,22,28
691,2,1,14,4,1,22,27
693,1,14,12,1,1,23,27
694,2,1,12,8,12,2,1
695,1,1,1,9,1,3,1
696,2,1,1,3,1,22,27
698,1,1,15,4,14,1,28
699,1,1,14,7,1,22,28
701,2,1,12,9,12,22,14
702,1,1,4,13,4,5,5
703,2,1,12,17,1,22,27
704,1,1,12,10,9,22,27
705,5,1,12,17,1,22,27
706,2,1,12,3,1,13,1
707,2,1,12,4,1,22,27
708,2,1,12,11,1,1,14
709,1,1,12,3,1,22,9
710,2,1,12,17,12,23,28
711,1,1,12,7,1,22,27
712,2,1,12,6,1,22,27
713,1,1,1,12,1,3,3
714,2,1,12,6,1,22,27
715,1,1,14,3,1,13,27
716,1,1,12,8,7,19,26
717,4,1,12,14,1,2,1
720,1,1,14,1,12,23,28
722,1,1,1,2,1,13,28
723,1,1,12,3,1,22,27
724,1,1,4,8,3,22,18
725,4,1,4,12,3,22,28
726,1,1,16,14,1,10,5
727,1,1,12,17,1,22,27
728,1,14,1,2,1,13,1
730,1,1,1,15,1,13,27
731,1,1,15,4,14,2,1
732,1,1,1,11,1,1,14
733,2,1,12,9,1,13,27
734,4,1,12,8,1,22,27
735,1,1,8,14,1,3,3
737,1,1,8,11,1,22,27
739,1,1,16,15,1,1,14
740,1,1,1,5,1,13,14
741,1,1,1,11,1,3,3
742,1,1,8,12,1,3,3
743,1,1,12,17,1,1,14
744,1,1,12,15,9,1,1
745,2,1,14,4,1,1,1
746,1,1,16,4,14,1,14
747,1,11,14,6,1,23,28
748,1,1,12,14,6,1,1
749,1,1,1,12,1,1,1
750,1,1,1,14,1,23,27
751,1,1,1,5,1,22,27
752,1,1,13,12,1,22,27
753,2,1,12,17,12,13,27
754,1,1,1,5,1,22,27
755,1,1,1,2,1,1,14
756,1,14,6,14,1,1,1
757,1,1,14,17,1,22,2
758,1,1,1,11,1,1,1
759,2,1,14,9,1,22,27
760,1,1,8,4,1,3,3
762,2,1,14,3,12,22,27
764,2,1,15,3,14,1,1
767,1,1,4,17,15,1,27
768,2,1,12,3,1,22,27
769,1,1,8,14,1,13,14
770,1,1,1,6,1,1,1
771,1,1,8,15,1,1,14
773,1,1,1,10,1,23,1
775,1,1,15,6,14,1,1
776,1,1,14,6,1,2,1
777,1,1,1,2,1,3,2
779,1,1,8,15,1,1,14
780,1,1,8,15,1,23,28
781,1,1,8,14,1,1,1
782,1,1,1,12,1,13,27
784,1,1,1,15,1,1,24
785,1,1,1,10,1,1,1
786,1,1,1,5,1,3,3
787,1,1,1,12,1,3,1
788,1,1,3,6,1,22,27
789,1,1,8,2,1,13,1
790,1,1,8,15,1,1,14
791,1,1,12,12,1,3,3
792,1,1,8,10,1,1,30
793,1,1,8,10,1,3,1
794,1,1,1,15,1,13,14
795,1,1,1,15,1,23,28
796,1,1,15,5,1,1,1
797,1,1,9,12,1,1,1
798,1,1,1,8,1,1,27
801,1,1,1,10,1,13,1
802,1,1,8,9,1,13,14
803,1,1,1,15,1,23,28
804,1,1,1,16,1,1,3
806,1,1,8,5,1,1,28
808,1,1,1,15,1,1,3
810,1,1,1,10,1,1,1
811,1,1,8,16,1,13,28
812,1,1,8,12,1,13,28
813,1,1,1,12,1,3,4
814,1,1,1,16,1,13,3
817,1,1,7,5,1,1,1
819,1,1,1,3,1,19,27
820,1,1,1,9,1,13,14
821,1,1,1,2,1,10,14
823,1,1,1,10,1,13,14
824,1,1,9,15,1,1,1
825,1,1,8,14,1,1,3
826,1,1,8,16,1,1,1
827,1,1,1,5,1,1,3
828,1,1,1,12,1,13,14
829,1,1,14,14,1,3,14
830,1,1,8,11,1,24,3
831,1,1,12,10,7,19,24
833,2,1,12,8,1,22,27
834,2,1,12,7,1,22,27
836,1,1,8,7,1,3,3
838,1,1,15,8,14,3,1
839,1,1,1,9,1,23,1
840,1,14,1,9,1,3,3
842,1,1,12,8,1,3,24
843,1,1,1,12,1,22,28
844,1,1,1,10,1,23,24
845,1,1,1,2,1,22,27
846,2,1,12,17,1,1,1
847,1,1,8,9,1,13,14
849,1,1,8,12,1,1,14
850,1,1,1,12,1,3,3
852,1,1,1,10,1,13,14
853,2,1,12,12,1,1,14
855,1,1,1,15,1,1,29
856,1,1,1,10,1,1,14
857,1,1,12,4,9,22,1
858,1,1,3,7,1,13,27
859,1,1,1,15,1,19,28
860,1,1,9,7,1,1,2
861,1,1,12,9,9,13,28
862,1,1,15,5,14,1,14
863,1,1,12,14,1,23,14
864,1,1,15,6,14,1,1
865,1,1,1,12,1,1,1
866,1,1,12,7,3,1,28
867,1,1,12,7,12,22,28
868,1,1,9,11,1,13,14
869,1,1,1,2,1,13,1
870,1,1,1,11,1,1,1
871,2,1,12,7,1,19,24
872,1,1,13,17,1,13,14
874,1,1,1,4,1,1,14
875,1,1,1,12,1,23,28
876,1,1,8,5,1,23,14
877,1,1,12,13,1,13,14
878,1,1,1,14,1,13,14
879,1,1,15,5,14,13,1
880,1,1,8,5,1,23,28
881,1,1,1,2,1,3,2
882,1,1,12,4,1,13,27
883,1,1,12,4,1,22,27
884,1,1,7,12,1,2,28
885,1,1,13,15,6,19,24
886,1,1,7,15,1,23,12
887,1,1,14,10,1,22,27
888,1,1,1,12,1,13,14
889,1,1,1,15,1,23,28
890,1,1,1,15,1,1,14
891,1,1,12,2,1,22,28
892,1,1,14,12,1,22,27
893,1,1,4,3,3,22,10
894,1,1,13,6,14,1,1
895,2,1,15,17,14,1,27
896,1,1,8,15,1,22,27
897,1,1,14,5,14,13,27
899,1,1,8,14,1,13,14
900,1,1,8,9,1,13,14
901,1,1,14,10,1,23,28
902,1,1,4,12,3,22,28
903,1,1,1,12,1,22,1
904,1,1,1,9,1,13,14
905,1,1,1,12,1,1,1
906,1,1,1,14,1,1,1
907,1,1,8,10,1,13,28
909,1,1,1,2,1,23,14
910,1,1,1,16,1,22,27
911,1,1,1,6,1,13,1
